#,Mod名,文件名,端,可选,下载源,下载链接,GitHub,说明
11,BoxDeco,boxdeco-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-boxdeco/boxdeco-9.jar,,BoxDeco by Zbx1425 / Build #9 / 内含装饰方块。https://modrinth.com/mod/boxdeco
12,Cauldron++,cauldronpp-1.0.2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-cauldronpp/cauldronpp-8.jar,,Cauldron++ by redColmula55 / Build #8 / Cauldron++是一个小型mod，旨在高版本Minecraft中还原Minecraft Beta1.9-pre2中使
13,Caupona,Caupona-26.1.2-6.1.4.jar,both,,archive.teacon.cn,https://archive.teacon.cn/jiachen/ci/extra/Caupona-26.1.2-6.1.4.5ea00e84.jar,,Mod dependency of Caupona / Managed by Biluochun
14,Channel,channel-26.1.2-39+beta.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-channel/channel-77.jar,,Channel by 真是炕炕又踢踢啊 / Build #77 / 自由地与大家在游戏中讲话。
15,chatbox,chatbox-26.1.2-1.1.4.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-chatbox/chatbox-10.jar,,chatbox by Ciallo～(∠・ω< ) / Build #10 / 在MC里玩旮旯给木也是一种独特的体验吧
16,ChromeBall NeoForge 26.1.2,ChromeBall-NeoForge-26.1.2-0.8.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/ChromeBall-NeoForge-26.1.2/0.8.1/ChromeBall-NeoForge-26.1.2-0.8.1.jar,,Mod dependency of ChromeBall NeoForge 26.1.2 / Included inside official TeaCon mod list
17,Cloth Config,cloth-config-26.1.154.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/cloth-config-26.1.154.d9147c85.jar,https://github.com/shedaniel/ClothConfig,Mod dependency of Cloth Config / Managed by Biluochun
18,CommandConfirm NeoForge 26,CommandConfirm-NeoForge-26-1.2.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/CommandConfirm-NeoForge-26/1.2.1/CommandConfirm-NeoForge-26-1.2.1.jar,,Mod dependency of CommandConfirm NeoForge 26 / Included inside official TeaCon mod list
19,continuity,continuity-3.0.1-0.0.8.jar,client,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/continuity-3.0.1-0.0.8.c4780ff4.jar,https://github.com/PepperCode1/Continuity,Mod dependency of continuity / Managed by Biluochun
20,Craton（克拉通）,Craton-26.1.2-neoforge-0.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-craton/craton-12.jar,,Craton（克拉通） by CratonMC / Build #12 / 一个研究地质学的mod，目前主要计划是做岩层。
21,Crock Pot,CrockPot-26.1.2-0.1.0-beta.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-crockpot/crockpot-98.jar,,Crock Pot by SSVMM / Build #98 / 将饥荒（Don't Starve）中的烹饪锅带进 Minecraft 中。
22,Curios API,curios-neoforge-15.0.0-beta.2+26.1.2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/curios-neoforge-15.0.0-beta.2%2B26.1.2.dd19b096.jar,https://github.com/TheIllusiveC4/Curios,Mod dependency of Curios API / Managed by Biluochun
23,diagonal fences,diagonal-fences-26.1.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/diagonal-fences/26.1.0/diagonal-fences-26.1.0.jar,,Mod dependency of diagonal fences / Included inside official TeaCon mod list
24,Distant Horizons,DistantHorizons-3.2.0-b-26.1.2-fabric-neoforge.jar,client,Y,cdn.modrinth.com,https://cdn.modrinth.com/data/uCdwusMi/versions/c0SAW45X/DistantHorizons-3.2.0-b-26.1.2-fabric-neoforge.jar,,Optional client-side level-of-detail rendering.
25,enchanted vertical slabs,enchanted-vertical-slabs-EUlKZFNN.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/enchanted-vertical-slabs/EUlKZFNN/enchanted-vertical-slabs-EUlKZFNN.jar,,Mod dependency of enchanted vertical slabs / Included inside official TeaCon mod list
26,ferrite core,ferrite-core-9.0.0-neoforge.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/ferrite-core/9.0.0-neoforge/ferrite-core-9.0.0-neoforge.jar,https://github.com/malte0811/FerriteCore,Mod dependency of ferrite core / Included inside official TeaCon mod list
27,GeckoLib,geckolib-neoforge-26.1.2-5.5.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/geckolib-neoforge-26.1.2-5.5.1.9c603a1b.jar,https://github.com/bernie-g/geckolib,Mod dependency of GeckoLib / Managed by Biluochun
28,Girlfriends,girlfriends-0.1.0+mc26.1.2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-girlfriends/girlfriends-14.jar,,Girlfriends by 重生之我在 TeaCon 做 Galgame / Build #14 / > 一个人挖矿、建造、探索——这是许多玩家熟悉的世界。 / > 但如果有一天，你发现某个角落藏着
29,Grack,grack-0.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-grack/grack-7.jar,,Grack by MaxPixel Studios Development γ / Build #7 / 众所周知，Minecraft中有数据包，而CraftTweaker、KubeJS等mod可以让
30,guide_me_to,guide_me_to-26.1.2-6.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/cn/uss-shenzhou/guide_me_to/26.1.2-6/guide_me_to-26.1.2-6.jar,,Mod dependency of guide_me_to / Included inside official TeaCon mod list
31,guideme,guideme-26.1.12-beta.jar,both,,archive.teacon.cn,https://archive.teacon.cn/jiachen/ci/extra/guideme-26.1.12-beta.5494b2cd.jar,https://github.com/AppliedEnergistics/GuideME,Mod dependency of guideme / Managed by Biluochun
32,hotbaaaar,hotbaaaar-26.1.2-2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/cn/uss-shenzhou/hotbaaaar/26.1.2-2/hotbaaaar-26.1.2-2.jar,,Mod dependency of hotbaaaar / Included inside official TeaCon mod list
33,Iris Shaders,iris-neoforge-1.10.9+mc26.1.1.jar,client,Y,cdn.modrinth.com,https://cdn.modrinth.com/data/YL57xq9U/versions/YEGDGnJM/iris-neoforge-1.10.9%2Bmc26.1.1.jar,https://github.com/IrisShaders/Iris,Optional client-side shader support.
34,jecharacters NeoForge 26.1.2,jecharacters-NeoForge-26.1.2-26.0.9.jar,client,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/jecharacters-NeoForge-26.1.2/26.0.9/jecharacters-NeoForge-26.1.2-26.0.9.jar,https://github.com/Towdium/JustEnoughCharacters,Mod dependency of jecharacters NeoForge 26.1.2 / Included inside official TeaCon mod list
35,jei,jei-9G0iRx9i.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/jei/9G0iRx9i/jei-9G0iRx9i.jar,,Mod dependency of jei / Included inside official TeaCon mod list
36,KilaGraph,kilagraphdemo-neoforge-26.1-26.1.0.3.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-kilagraphdemo/kilagraphdemo-15.jar,https://github.com/Low-Drag-MC/KilaGraph,KilaGraph by 图灵机 / Build #15 / 这个mod是对KilaGraph的展示，KilaGraph是一个面向Minecraft的可视化节点图工具包。 / KilaGraph基于l
37,Kiwi NeoForge 26.1.2,Kiwi-NeoForge-26.1.2-26.0.9.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/Kiwi-NeoForge-26.1.2/26.0.9/Kiwi-NeoForge-26.1.2-26.0.9.jar,,Mod dependency of Kiwi NeoForge 26.1.2 / Included inside official TeaCon mod list
38,Kotlin For Forge,kotlinforforge-6.2.0-all.9114aa0f.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/kotlinforforge-6.2.0-all.9114aa0f.jar,https://github.com/thedarkcolour/KotlinForForge,Mod dependency of Kotlin For Forge / Managed by Biluochun
39,Lights up(舞台灯光),lights_up-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-lights-up/lights-up-6.jar,,Lights up(舞台灯光) by Ti adventurers' party / Build #6 / 一个画大饼模组，计划添加一堆舞台灯光及其操作到游戏内。Ti团队似乎并没有多少时间来完成这个模
40,LiveHelper,live_helper-1.0.0-all.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-live-helper/live-helper-25.jar,,LiveHelper by LiveHelper 直播助手 / Build #25 / 支持多机位直播。 / - 将渲染结果通过 Spout 库推流至外部程序 (如 OBS)； / - 基于 WebA
41,LowDragLib2,ldlib2-neoforge-26.1-26.1.2.31.jar,both,,archive.teacon.cn,https://archive.teacon.cn/jiachen/ci/extra/ldlib2-neoforge-26.1-26.1.2.31.a5706858.jar,,Mod dependency of LowDragLib2 / Managed by Biluochun
42,LuckPerms NeoForge,LuckPerms-NeoForge-5.5-20260902.124952-3-all.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/me/lucko/luckperms/LuckPerms-NeoForge/5.5-SNAPSHOT/LuckPerms-NeoForge-5.5-20260902.124952-3-all.jar,,Mod dependency of LuckPerms NeoForge / Included inside official TeaCon mod list
43,MadParticle,madparticle-26.1.2-13.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-madparticle/madparticle-126.jar,,MadParticle by 真是踢踢又炕炕啊 / Build #126 / 比上一届和上上一届更多的粒子。
44,Mekanism:More Machine,mekmm-26.1.2-2.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-mekmm/mekmm-74.jar,,Mekanism:More Machine by LostOurselves / Build #74 / MekMM为通用机械添加了种植机和复制机，以及氧化机、溶解机等机器的工厂版本。 /  / CF
45,MinecartRevolution,minecartrevolution-1.0.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-minecartrevolution/minecartrevolution-82.jar,,MinecartRevolution by MinecartRevolution Dev / Build #82 / 在 Minecraft 中，我们只有熔炉、漏斗、箱子、刷怪笼、指令方块和 TNT 
46,Minecraft Mod MCP,minecraft-moddev-mcp-neoforge-26.1.2-0.2.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-mcpmod/mcpmod-4.jar,,Minecraft Mod MCP by 鱼塘创富交流群 / Build #4 / Minecraft 模组的 Agent 模型上下文协议设施
47,Mino++,minopp-1.5.0+26.1.2-neoforge.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-minopp/minopp-105.jar,,Mino++ by Zbx1425 & MalayP / Build #105 / 在 Minecraft 里实现一个特定的著名桌游。https://modrinth.com/mod/minopp
48,modern ui,modern-ui-3.13.0.5.jar,client,,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/modern-ui/3.13.0.5/modern-ui-3.13.0.5.jar,https://github.com/BloCamLimb/ModernUI-MC,Mod dependency of modern ui / Included inside official TeaCon mod list
49,Nature Rebirth,nature_rebirth-1.0.4.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-nature-rebirth/nature-rebirth-13.jar,,Nature Rebirth by 嗨皮的布拿拿 / Build #13 / 一个让Minecraft中那些不可再生资源变得可量产的模组
50,Neo ECO AE Extension,neoecoae-1.3.4.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-neoecoae/neoecoae-9.jar,,Neo ECO AE Extension by Make AE2 Great Again / Build #9 / Neo Eco AE Extension 为 应用能源2 引入了三种大型核心组件，将
51,NeoMTR 纸板箱特色我的世界铁路,NeoMTR-300.6.1+26.1.2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-mtr/mtr-129.jar,,NeoMTR 纸板箱特色我的世界铁路 by NeoMTR 项目参与人员 / Build #129 / 全自动运行的拟真轨道交通系统。 基于 MTR3+NTE 的延续开发项目。 / https://mo
52,NeoMystiasIzakaya,neo_mystias_izakaya-neoforge-26.1.6.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-neo-mystias-izakaya/neo-mystias-izakaya-67.jar,,NeoMystiasIzakaya by mc幻想乡 / Build #67 / NeoMystiasIzakaya 制作决定！ / 决定参展teacon2026！ / 原班人马，两家食堂合作，全新体
53,NetherLink,netherlink-26.1.2-neoforge-0.1.0-tc.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-netherlink/netherlink-19.jar,,NetherLink by 暮の音 / Build #19 / 在较低的 MC 版本实现官方联机与好友功能的接入的同时，提供了一个能够通过好友列表进入专用服务端的新开服方式。 / 模组介绍（官网） h
54,NetMusic 网络音乐机,netmusic-1.5.1-neoforge+mc26.1-all.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-netmusic/netmusic-40.jar,https://github.com/TartaricAcid/NetMusic,NetMusic 网络音乐机 by NetMusic 制作委员会 / Build #40 / 一个允许你在 Minecraft 中播放网络音乐与广播的模组
55,NotEnoughBandwidth NeoForge 26.1,NotEnoughBandwidth-NeoForge-26.1-0.2.20.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/NotEnoughBandwidth-NeoForge-26.1/0.2.20/NotEnoughBandwidth-NeoForge-26.1-0.2.20.jar,,Mod dependency of NotEnoughBandwidth NeoForge 26.1 / Included inside official TeaCon mod list
56,NotWaitingForServer,NotWaitingForServer-26.1.8+neoforge.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/NotWaitingForServer/26.1.8%2Bneoforge/NotWaitingForServer-26.1.8%2Bneoforge.jar,,Mod dependency of NotWaitingForServer / Included inside official TeaCon mod list
57,nowaterupdate,nowaterupdate-26.1.2-1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/cn/uss-shenzhou/nowaterupdate/26.1.2-1/nowaterupdate-26.1.2-1.jar,,Mod dependency of nowaterupdate / Included inside official TeaCon mod list
58,ObeliskDepths,ObeliskDepths-NeoForge-26.1.2.87-0.0.1-0.0.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-obeliskdepths/obeliskdepths-43.jar,,ObeliskDepths by 地牢深处 / Build #43 / 添加了一个新的地牢维度和一些方块
59,Orga's AutoSprint,autosprint-0.org-itk.0.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-autosprint/autosprint-6.jar,,Orga's AutoSprint by 铁华团 / Build #6 / 像MMORPG一样一键切换行走，解放W键……只要不停下来，道路就会不断延伸。
