#,Mod名,文件名,端,下载源,下载链接
33,Kotlin For Forge,kotlinforforge-6.2.0-all.9114aa0f.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/kotlinforforge-6.2.0-all.9114aa0f.jar
34,Lights up(舞台灯光),lights_up-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-lights-up/lights-up-6.jar
35,LiveHelper,live_helper-1.0.0-all.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-live-helper/live-helper-25.jar
36,LowDragLib2,ldlib2-neoforge-26.1-26.1.2.31.jar,both,archive.teacon.cn,https://archive.teacon.cn/jiachen/ci/extra/ldlib2-neoforge-26.1-26.1.2.31.a5706858.jar
37,LuckPerms NeoForge,LuckPerms-NeoForge-5.5-20260902.124952-3-all.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/me/lucko/luckperms/LuckPerms-NeoForge/5.5-SNAPSHOT/LuckPerms-NeoForge-5.5-20260902.124952-3-all.jar
38,MadParticle,madparticle-26.1.2-13.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-madparticle/madparticle-126.jar
39,Mekanism:More Machine,mekmm-26.1.2-2.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-mekmm/mekmm-74.jar
40,MinecartRevolution,minecartrevolution-1.0.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-minecartrevolution/minecartrevolution-82.jar
41,Minecraft Mod MCP,minecraft-moddev-mcp-neoforge-26.1.2-0.2.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-mcpmod/mcpmod-4.jar
42,modern ui,modern-ui-3.13.0.5.jar,client,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/modern-ui/3.13.0.5/modern-ui-3.13.0.5.jar
43,Nature Rebirth,nature_rebirth-1.0.4.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-nature-rebirth/nature-rebirth-13.jar
44,Neo ECO AE Extension,neoecoae-1.3.4.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-neoecoae/neoecoae-9.jar
